title,description
"Alberta economy on track for most severe annual decline on record, national report predicts","'The provincial government is in a tight spot,' says Conference Board of Canada",2020-04-15,CBC
Conservative Leader Andrew Scheer to drop pledge to balance budget in 2 years,"'In the last three years, Trudeau has made an even bigger mess of the budget than I thought possible'",2019-05-23,CBC
"Quebec unemployment rate soars to 17%, highest ever recorded","The province's economy lost an estimated 821,000 jobs in April",2020-05-09,CBC
"Two more deaths, 106 new cases of COVID-19 in Alberta","1,181 total cases of COVID-19 in the province",2020-04-05,CBC
'All bets are off' as Dominion Diamond Mines faces severe cash crunch,"Alberta court grants Dominion's protection order, company cites COVID-19 pandemic as a factor",2020-04-23,CBC
"How a year without concerts, festivals and conferences could hit B.C.'s economy",Events generate hundreds of millions of dollars in communities across province every year,2020-05-08,CBC
"Canada's economy grew 0.1% in August, Statistics Canada reports","Gross domestic product edged up slightly, but fell short of expectations",2019-10-31,CBC
Women have been on front lines of Italy's war on coronavirus but shut out from task force leading response,Thousands of women also furious with government they say is clueless about their needs,2020-05-10,CBC
"Edmonton economy to improve only slightly in 2020, city's chief economist says","Capital city can expect ‘very modest’ growth, John Rose says",2020-01-02,CBC
How the coronavirus has thrown interest rate plans out the window,40 banks around the world have already cut interest rates — and Canada could be next,2020-03-01,CBC
Coronavirus could be the global shock that economists have feared: Don Pittis,But avoiding panic over the disease's economic impact will prevent a worse result,2020-02-26,CBC
Statistics are great unless they measure the wrong things: Don Pittis,"Statistics Canada looks to Big Data to size up Canadians, but are the numbers biased?",2020-01-20,CBC
"Alberta economy to improve ever so slightly after tough 2019, according to ATB",The latest economic outloook doesn't anticipate big changes as headwinds continue to blow,2019-12-12,CBC
"Toronto Raptors helped spike Canada's economy in May, StatsCan says",GDP expanded by 0.2% in month and 1.4% annual pace,2019-08-01,CBC
"121,500 B.C. food-service staff have lost jobs due to COVID-19 — and more could follow: Restaurants Canada","Nearly 10% of restaurants across country have closed since March 1, according to association survey",2020-04-02,CBC
Recession or depression? Canada's economy is in for a rough spring,"With economic activity diving in Canada, just how bad will it get?",2020-04-15,CBC
Can this pandemic be the crisis that finally forces us to fix long-term care?,The death toll in long-term care should horrify us all — enough to finally fix a badly broken system,2020-04-25,CBC
"Canadian economy cooled off in 3rd quarter, Statistics Canada says",Bank of Canada expected to hold line on interest rates next week,2019-11-29,CBC
"Canada's economy grew at 0.4% pace to start 2019, barely ahead of late 2018 pace",,2019-05-31,CBC
"What you need to know about COVID-19 in Alberta on Sunday, April 26","Global deaths from COVID-19 have surpassed 203,000, researchers say",2020-04-26,CBC
"Canada's economy grew at 0.4% pace to start 2019, barely ahead of late 2018 pace",,2019-05-31,CBC
China says misleading to suggest it needs trade deal due to slowing economy,Economic growth in China cooled to 6.2% in the 2nd quarter,2019-07-16,CBC
Kenney's claim carbon tax damaged Alberta economy is refuted in court documents,"NDP’s Climate Leadership Plan had marginal effect on GDP growth, analysis shows ",2019-12-16,CBC
Industry minister says she'll 'put the pressure on' feds after Dominion files for creditor protection,"As for Dominion Diamond's future, the minister said she doesn't know much more than the public does",2020-04-24,CBC
"While Yukon businesses brace for lack of tourism, the pandemic's impact on mining is less clear","'The economic spinoff of tourism is not to be underestimated,' says territory's wilderness tourism association",2020-04-21,CBC
Retailers foresee holiday joy — even as Poloz looks to hold line on rates: Don Pittis,"While the world cuts interest rates, the Bank of Canada likely won't if we keep shopping",2019-12-03,CBC
Alberta finance minister authorized to borrow up to $25 billion,Budget planned for $6.8 billion in borrowing,2020-04-24,CBC
P.E.I. announces $4.7M to tackle potato surplus related to COVID-19 market conditions,'This will help to ensure no product is lost so that farmers are in good position for the 2020 growing season',2020-04-23,CBC
