title,description
"$1K bonus coming for essential workers, says province",Islanders also asked to forgo waving good luck to fishing boats from wharfs on first day of season,2020-05-07,CBC
CMHC to take more mortgages off banks' books to free up cash for loans amid COVID-19 crisis,Government had similar program in place during 2009 financial crisis,2020-03-26,CBC
Group calls on P.E.I. to reduce highest allowable payday loan rates in country,"In midst of economic crisis, worries high cost of borrowing could further sink households into debt",2020-04-16,CBC
CBRM to make paying property taxes a little easier this year,Those whose income has taken a hit due to COVID-19 may qualify for property tax financing over 30 months,2020-05-05,CBC
New U.K. tariff list ramps up urgency of Canada-U.K. trade talks,"Only half of U.K.'s imports will enter tariff-free after Jan.1, with trade under CETA set to expire",2020-05-20,CBC
Barber who sought N.S. COVID-19 loan calls program a 'blunder',"Halifax barber Eoin Wright says interest rate too high, payback start date too soon",2020-05-06,CBC
U.S. stock markets move sharply higher on COVID-19 optimism,"Dow Jones Industrial Average gains 1,000 points; oil tops $30 for first time since March",2020-05-18,CBC
U.S. Federal Reserve leaves rates near zero as COVID-19 savages U.S. economy,Economists forecast sharpest downturn in U.S. history this quarter,2020-04-29,CBC
Poor planning for COVID-19 rings economic warning bell for climate: Don Pittis,Question for governments is how much to spend now to avert potential disaster later,2020-04-10,CBC
U.S. Federal Reserve slashes rate to near 0 in effort to offset COVID-19 impact,Fed also said it will drop some bank requirements in order to encourage lending,2020-03-15,CBC
'They're despicable': Consumers warned of illegal advance-fee loans during pandemic,"Terms such as 'credit protection' disguise charges that aren’t legal, BBB says",2020-05-03,CBC
Interest rate cut for COVID-19 is like surgery with a club: Don Pittis,Cheap money is a blunt instrument that won't fix specific economic problems caused by coronavirus outbreak,2020-03-05,CBC
Bank of Canada follows U.S. with half-point rate cut to soften blow of coronavirus,Bank rate reduction comes amid economic concerns over coronavirus outbreak,2020-03-04,CBC
How the coronavirus has thrown interest rate plans out the window,40 banks around the world have already cut interest rates — and Canada could be next,2020-03-01,CBC
"Apple, Google release their joint technology for pandemic-tracking apps","Several U.S. states, 22 countries already planning to use new smartphone apps",2020-05-20,CBC
"As COVID-19 bailouts pile up, Canadians ask for relief on credit card rates","Credit cards have much higher interest rates than other forms of debt and so far, are drawing less scrutiny",2020-04-03,CBC
"It's hard to let go, but we'll have to say goodbye to the garage sale during this pandemic summer","'I have to forfeit one of life's greatest pleasures,' Lesley Hughes says as distancing puts an end to sales",2020-05-17,CBC
Will COVID-19 cause the next North American recession?,Finance columnist Mark Ting answers questions about the financial impact of coronavirus,2020-03-08,CBC
LaGrange threatens to fire CBE trustees despite no evidence of 'reckless' spending in audit,Education minister ordered audit after board struggled with government budget cuts,2020-05-21,CBC
"With rail blockades lifted, effort begins to measure economic damage","Bank estimate puts economic cost of blockades at 0.3% of GDP, equal to all Canada’s growth in late 2019",2020-03-06,CBC
P.E.I. announces $50M loan assistance program for tourism operators,'As minister responsible for tourism my heart breaks for our Island's tourism industry',2020-04-16,CBC
