source,title_desc,publishedAt
CBC,U.S. Fed chair rules out negative interest rates even as Trump trumpets them. U.S. president goes negative on Jerome Powell for rejection of below-zero interest rates,2020-05-13
CBC,"Interest rates are plunging — so why aren't mortgage rates?. Bond yields and central bank rates have never been lower, but not all the savings are filtering down",2020-04-04
CBC,"Why high interest rates were a problem for '80s renters, too. They didn't have mortgages, but their landlords did",2020-04-03
CBC,Canada's big banks cut credit card interest rates to ease coronavirus impact. Big Six will temporarily reduce credit card interest rates amid COVID-19 pandemic,2020-04-04
CBC,Bank of Canada makes another emergency cut to interest rate. Bank has made an emergency rate cut twice in 2 weeks in response to damage of COVID-19 pandemic,2020-03-27
CBC,Bank of Canada holds interest rates steady. Central bank holds the overnight rate steady at 1.75%,2020-01-22
CBC,Bank of Canada makes emergency interest rate cut. Move comes on top of previous 50-point cut last week,2020-03-15
CBC,Bank of Canada holds interest rates steady. Holds benchmark interest rate at 1.75 per cent,2019-12-04
CBC,U.S. Federal Reserve cuts benchmark interest rate by half-point to offset coronavirus impact. Rate cut is biggest since 2008 financial crisis,2020-03-03
CBC,"Slashed interest rates, getting a piece of the electric car pie, and a happy 'Jobs Friday' to all!. Plus how do Canadian events plan ahead in the wake of COVID-19 fears?",2020-03-09
CBC,Interest rates made home buyers look beyond their comfort zone in 1979. Interest rate of almost 15 per cent drove property seekers to less desirable districts,2019-11-02
CBC,U.S. Federal Reserve cuts interest rates for 3rd time this year. The target range for the federal funds is now 1.5 to 1.75%,2019-10-30
CBC,"Bank of Canada holds interest rate at 1.75%, wary of global slowdown. Central bank says outlook for global economy 'has weakened further' since July",2019-10-30
CBC,Fed takes action to control short-term interest rates. U.S. Federal Reserve Bank of New York carried out $53 billion US in transactions known as repurchase agreement,2019-09-17
CBC,Court fight over pawned accordion highlights how many brokers' interest rates are illegal. Agassiz pawnbrokers dinged over 25% monthly loan rate they say is standard in B.C.,2019-09-13
CBC,"Bank of Canada resists pressure to cut its interest rate — for now. Central bank leaves key rate at 1.75%, but appears ready to adjust lower",2019-09-04
CBC,Bank of Canada unlikely to follow any Fed interest rate cut. U.S. central bank expected to drop interbank lending rate by 25 basis points,2019-07-31
CBC,"Bank of Canada holds interest rate steady at 1.75%, citing trade tensions. Outlook clouded by trade, central bank says, lowering global growth forecast",2019-07-10
CBC,Bank of Canada holds key interest rate steady at 1.75%. Decision in line with what economists were expecting,2019-05-29
CBC,U.S. central bank cuts interest rate again — but split on what to do next. Federal Reserve moving to stimulate economy as trade fears mount,2019-09-18
CBC,Bank of Canada holds rate steady at 0.25% and hints it has no plans to go any lower. Bank expects economic activity to slow by as much as 30% from end of 2019,2020-04-15
CBC,Lump sum credit on electricity bills as soon as July. Low oil prices have left $50M surplus in rate stabilization fund,2020-05-14
CBC,"Group calls on P.E.I. to reduce highest allowable payday loan rates in country. In midst of economic crisis, worries high cost of borrowing could further sink households into debt",2020-04-16
CBC,"Barber who sought N.S. COVID-19 loan calls program a 'blunder'. Halifax barber Eoin Wright says interest rate too high, payback start date too soon",2020-05-06
CBC,U.S. Federal Reserve leaves rates near zero as COVID-19 savages U.S. economy. Economists forecast sharpest downturn in U.S. history this quarter,2020-04-29
CBC,U.S. Federal Reserve slashes rate to near 0 in effort to offset COVID-19 impact. Fed also said it will drop some bank requirements in order to encourage lending,2020-03-15
CBC,Interest rate cut for COVID-19 is like surgery with a club: Don Pittis. Cheap money is a blunt instrument that won't fix specific economic problems caused by coronavirus outbreak,2020-03-05
CBC,Bank of Canada follows U.S. with half-point rate cut to soften blow of coronavirus. Bank rate reduction comes amid economic concerns over coronavirus outbreak,2020-03-04
CBC,How the coronavirus has thrown interest rate plans out the window. 40 banks around the world have already cut interest rates — and Canada could be next,2020-03-01
CBC,"As COVID-19 bailouts pile up, Canadians ask for relief on credit card rates. Credit cards have much higher interest rates than other forms of debt and so far, are drawing less scrutiny",2020-04-03
CBC,Port Hawkesbury Paper gets 4-year power rate discount. Mill to get power at rate 25% cheaper than other customers are charged,2020-03-26
CBC,"Manitobans would temporarily lose public hearings on Hydro rates under new law. Province says moving to multi-year rate hearings, instead of yearly, would save Manitobans' money",2020-03-21
CBC,"More rate cuts possible if coronavirus impact worsens, Poloz says. Investors think it is a near certainty that bank will cut again next month",2020-03-05
CBC,Here's more info on the N.W.T. government's low-interest loan program for businesses. Loan program part of territory's $13.2M financial relief package,2020-03-25
CBC,"Canada's unemployment rate climbs to 5.9%. Regionally, Quebec suffered the biggest decline in jobs from the previous month",2020-01-06
CBC,"Fed's Powell sees steady growth, signals pause in rate cuts. Powell's testimony comes a day after Trump attacked the Fed for not cutting interest rates further",2019-11-13
CBC,Why homeowners ran 'the Marathon of Despair' in 1981. Protest against high interest rates also involved burning a miniature house ,2019-11-15
CBC,Alberta government looking at low interest credit for struggling oil and gas companies. Jason Kenney says he's spoken with federal government about contributing funds,2020-03-12
CBC,Province says new law will benefit drivers' rates by keeping government hands off ICBC profits. B.C. NDP will introduce a law this week designed to keep any future surpluses within ICBC to benefit drivers,2020-03-03
CBC,"Canadian economy cooled off in 3rd quarter, Statistics Canada says. Bank of Canada expected to hold line on interest rates next week",2019-11-29
CBC,"U.S. Fed says monetary policy will remain 'non-political' after Trump-Powell meeting. Trump summons Fed chairman to White House to discuss economy, interest rates",2019-11-18
CBC,"U.S. central bank cuts interest rate for 1st time since 2008. Move trims U.S. rate by quarter point to 2.25%, closer to Bank of Canada's",2019-07-31
CBC,Hydro rates rising 2.5% for most customers. Additional revenue will fund ongoing capital construction,2019-05-29
