source,title_desc,publishedAt
CBC,"NB Power rate used to justify smart meters 'low,' says expert. Expert calculated 1 per cent swing worth $7M",2020-01-17
CBC,"U.S. Federal Reserve holds rates steady, expects moderate growth next year. Fed policy makers signalled borrowing costs likely to remain unchanged indefinitely",2019-12-11
CBC,"'Avalanche' of personal debt has doubled N.L. insolvency rates since 2014, insider says. Not just the oil bust leading to bankruptcies",2020-02-12
CBC,Why it was hard to sell or buy a home in Vancouver in 1981. Interest rates were the stumbling point ,2019-08-27
CBC,"Bell scales back rural internet plans after CRTC decision on rates. Bell will nix 200,000 customers from expansion, Rogers says it is reviewing options",2019-08-20
CBC,"Canadian inflation 1.9% in September as lower gas prices keep rate steady. Rate held at 1.9% for second straight month, close to Bank of Canada's ideal target of 2%",2019-10-16
CBC,More Fed cuts expected to push Canadian interest rates lower: Don Pittis. Watch for effects of shrinking global economy to hit Canada as well,2019-09-19
CBC,"British budget confronts challenges of coronavirus, post-Brexit economy. New finance minister's budget preceded by half-point Bank of England rate cut",2020-03-11
CBC,"The pros and cons for Canadian cities interested in being hubs for fan-free NHL games. Vancouver, Edmonton, Toronto among Canadian cities to show interest in possible plan to salvage season",2020-05-08
CBC,"Retailers foresee holiday joy — even as Poloz looks to hold line on rates: Don Pittis. While the world cuts interest rates, the Bank of Canada likely won't if we keep shopping",2019-12-03
CBC,"NB Power plan to remove Joi Scientific spending from rate increase an empty gesture, says expert. Utility opened EUB hearings with surprise move to lower requested rate increase to 1.9%",2020-02-13
CBC,"OPINION | For Alberta, the potential of geothermal energy is clear, if it's done right. Without right strategy, development of this low-carbon resource will not be realized",2020-05-18
CBC,"Erdogan fires Turkey's central banker, creating jitters over currency. Turkey's president wanted to lower interest rates, currently at 24%, but banker refused",2019-07-08
CBC,"Ball, O'Regan to make 'significant announcement' on Monday after rate mitigation talks over weekend. 'The ball is in the government's court, so let's hear from Premier Ball,' says Ches Crosbie",2020-02-09
CBC,"Why worries about the coronavirus are pushing mortgage rates down. Fear has pushed investors to buy up bonds, which is causing cheaper borrowing for home buyers",2020-01-29
CBC,"CAQ passes bill on Hydro-Québec rates by invoking closure. Opposition parties united against the bill, saying it won't save customers money",2019-12-08
CBC,"Free mortgages and bond yields turned upside down: trade war impacts veer toward the wacky. From inverted bond yields to negative interest rates, the world's economy is headed into uncharted territory",2019-08-17
CBC,European Central Bank keeps rates low as new president takes helm. Decision follows a similar one by the U.S. Federal Reserve,2019-12-12
CBC,"Cheaper energy pulls Canada's inflation rate down to 2% in June. If energy is stripped out, cost of living increased at a 2.6% annual pace last month",2019-07-17
CBC,"As the U.S. economy tilts toward concern, Canada's is on the upswing: Don Pittis. Federal Reserve chair Jerome Powell holds interest rates steady, but opens the door to future cuts",2019-06-20
CBC,Powell hints Federal Reserve will cut rates if needed over trade wars. Expectations are rising that the Fed will cut rates at least once and possibly twice before year's end,2019-06-04
CBC,Questionable Florida investment by NB Power in spotlight at rate hearing. Utility and province spent $13M on licensing rights for technology claiming to generate hydrogen from seawater,2020-02-06
CBC,"European Central Bank holds rates, but paves way for possible stimulus. More stimulus could be coming soon to support an economy weakening in the face of global trade tensions",2019-07-25
CBC,"Canada added 54,000 jobs in September, StatsCan says. Unemployment rate drops to 5.5%, in the last job report before Canadians head to the polls",2019-10-11
CBC,Inflation's return would upend consumer and market strategies: Don Pittis. Experts warn record spending and printing money could lead to post-COVID price rises,2020-04-06
CBC,Bank of Canada may cut rates to aid economy sickened by COVID-19: Don Pittis. Central bank action may be part of a co-ordinated G7 plan as recommended by OECD,2020-03-03
CBC,"Calgary pulling together list of projects for life after pandemic. Nenshi says governments are interested in creating jobs, getting economy moving when crisis is done",2020-04-02
CBC,"Once considered industry friendly, New Brunswick's auto insurance regulator is pushing back. Wawanesa is asking for two rate increases in 2020, but will have to get by NB's Insurance Board",2020-02-25
CBC,"U.S. jobs growth strong, casting doubt on anticipated Fed rate cut. Stocks slide as jobs report indicates continuing growth in U.S. economy",2019-07-05
CBC,Average residential customer to save $127 this year on natural gas. Discontinued furnace replacement program 'a large influence' in overall rate decrease: Public Utilities Board,2019-11-01
CBC,"Name calling and market pressure may curb U.S. Fed's independence: Don Pittis. With few signs of recession, could Jerome  Powell leave rates unchanged even if he wanted to?",2019-09-16
CBC,"Dow at record above 27,000 as U.S. rate cuts look likely. Powell's testimony to Congress indicates key rate could be cut in July",2019-07-11
CBC,"Gatineau cyclists ticketed at much higher rate. Ottawa cyclists fined less, but far outnumber Gatineau counterparts",2019-10-21
CBC,3 P.E.I. MLAs list tax debt in conflict of interest documents. P.E.I.'s transportation minister says he paid off his debt Monday,2019-07-30
CBC,U.S. Fed's Jerome Powell urges Congress to tackle growing budget deficit. Comment comes a day after Powell said interest rates will likely remain unchanged,2019-11-14
CBC,City to look at new approach to creating affordable housing. The plan would offer interest-free loans to developers ,2019-11-14
CBC,"MPI vows to cut auto insurance rates, argues shift to online sales is a must. Average cost of insurance for private passenger vehicles would decrease 0.9%",2019-10-07
CBC,"S&P 500 hits record high on hopes of trade deal, rate cut. Technology stocks also helped push benchmark index to all-time high and Nasdaq close to record",2019-10-28
CBC,Rebooted rate design could spell extreme price changes for NB Power customers. Consultants' report to EUB suggests public needs to be on board for changes to work,2019-11-20
CBC,"Markets up sharply, rebounding from 7-day, coronavirus-driven decline. Rally comes amid hope central banks will cut rates to shore up economies ",2020-03-03
CBC,"Employment held steady in October, Statistics Canada says. Economy lost 1,800 jobs, a number low enough that unemployment rate is unchanged",2019-11-08
CBC,"Ottawa, N.L. agree to cut financing costs of Muskrat Falls, but how isn't yet clear. Ball and O'Regan say deal would keep hydro rates stable, details yet to be settled",2020-02-11
CBC,P.E.I. to save on debt with improved bond rating. Higher bond rating means lower interest rates on government debt,2019-08-20
CBC,'Pretty cheap money': Canadian mortgage rates falling to their lowest level in 2 years. Fixed and variable loans have gotten cheaper because costs for lenders are down too,2019-06-07
CBC,"Interest in off-grid homes growing, but mortgages haven't kept pace. People who work in the solar power industry report growing interest in self-sufficient homes",2019-12-10
CBC,"Canada's economy lost 2,200 jobs last month. Jobless rate ticks up to 5.5%, although past year has seen 421,000 jobs added",2019-07-05
CBC,Houses in New Brunswick selling at unusually fast rate. Increase in home sales backed by record-setting month in May,2019-07-05
CBC,Staring down Muskrat's 'extraordinary' pressure on N.L. electricity rates. Public hearings commence in St. John's as utility regulator eyes options for mitigation,2019-10-03
CBC,How fast is your cost of living going up? Play our interactive game. Try your hand at guessing inflation rates in various categories,2019-09-06
CBC,"How measles outbreak spurred renewed interest in national vaccine registry. Each province and territory has own immunization schedule, recording system",2019-06-03
CBC,"'Desperate need for improvements' to mental health services in northern Sask.: auditor. Suicide rates in northwestern Sask. exceed provincial average by 50%, auditor's report says",2019-12-06
CBC,Bond rating agency likes what it sees in P.E.I. budget. A higher rating would mean government would pay less interest on debt,2019-06-27
CBC,"Can the Tories double the rate of job creation in Manitoba?. PCs promise 40,000 new jobs in 4 years ... that's more new jobs than Manitoba added in the previous 9 years",2019-08-17
CBC,"The cost of dying: How a spike in cremation rates is changing the funeral industry. Cost, choice and weakening religious ties are behind the increase in cremation rates",2020-02-16
CBC,"Wellington-Halton Hills candidates grilled on gas tax, climate change, housing strategy by region. Surveys are found on section of region's website called 'advocating for a strong Halton'",2019-10-16
CBC,"St. John's budget passes unanimously with no increase in residential, commercial tax rates. Improvements to public transit one of main budget focuses",2019-12-02
CBC,"After meeting with PM, Dwight Ball says he expects federal Muskrat Falls solution by January. N.L. premier reiterated his confidence that the federal government will help with rate mitigation",2019-11-26
CBC,City of Thunder Bay proposes municipal tax levy increase of $6M. Four per cent increase to water and wastewater rates proposed in budget,2020-01-03
CBC,U.S. corporate leaders swing left to fix 'frayed' American dream: Don Pittis. But critics call 11th-hour conversion a smokescreen to block new rules and taxes,2019-08-20
CBC,"Democracy activists in Calgary on mission to demystify the voting process. New Canadians and young people not participating at same rate, says Democratic Engagement Exchange founder",2019-08-08
CBC,"Big spending increases and a modest residential property tax hike in Montreal's 2020 budget. Opposition accuses mayor of driving up debt, leaving city vulnerable if interest rates go up",2019-11-26
CBC,"Federal NDP Leader Jagmeet Singh first to respond to Premier Dwight Ball. Promises of rate mitigation, a fixed link and more",2019-10-18
CBC,"Why it's time to end corporate welfare for Canada's fossil fuel industry. Subsidies undermine our economy, add to the tax burden, and hinder innovation",2020-03-11
CBC,"Let's put the idea of garbage in the trash. Celebrate the recycling bin instead of putting it in a dark corner, columnists say",2020-02-22
CBC,"OPP complaint a 'witch hunt,' Blackridge Strategy says. The OPP is now looking into whether it should investigate the PR firm for Municipal Elections Act violations",2019-08-02
CBC,"Doug Ford's dumpster fire explains why Ontario tolerates years of Liberal mismanagement: Robyn Urback. The same sorts of scandals, plus austerity measures, lead to an unhappy province",2019-06-22
CBC,"Is this game over for Ottawa's baseball stadium?. Current deal with Champions not in city's financial interests, says councillor",2019-09-10
CBC,"Police watchdog seeking witnesses to cruiser crash that injured 6. General patrol unit vehicle, driving at 'high rate of speed,' was responding to 'suspicious male'",2019-07-16
CBC,"Leaders talk financial relief, but Trudeau still quizzed over blackface scandal. Trudeau announces plan to cut taxes, cellphone rates",2019-09-22
CBC,"Beyond impeachment: How the hearings might impact the 2020 election. 'My guess is it's going to be a distant memory,' says one Republican strategist",2019-12-05
CBC,Laurentian student government president warns of substantial funding cuts to ancillary programs. SGA president projects that Laurentian will have opt out rates up to five times higher than other schools,2019-09-16
CBC,CBE trustees release document to combat budget 'misconceptions'. Ministry official says CBE demonstrates 'systemic inability to prioritize their students',2019-12-19
