title,description
Markets continue rebound from post-Brexit shock,Benchmark Toronto stock index regains almost 347 points in two days,2016-06-29,CBC
Markets continue rebound from post-Brexit shock,Benchmark Toronto stock index regains almost 347 points in two days,2016-06-29,CBC
Toronto stocks close lower with U.S. markets shut for holiday,,2016-05-30,CBC
"Biggest marijuana ETF on TSX adds 9 new cannabis companies, including Tilray",Horizons ETF now has 49 different companies in it,2018-09-26,CBC
S&P/TSX composite index hits record closing high,"Benchmark Index closed up 104.42 points at 16,420.95 on Wednesday",2018-06-20,CBC
Canadian dollar at 73 cents US amid hopes for oil output freeze,"Uncertainty remains over Saudi deal for oil production cap, but investors hopeful",2016-02-17,CBC
Canadian dollar moves above 71 cents as oil recovers,"TSX has 3 days of gains, but is still down 3% on the year",2016-01-28,CBC
Canadian dollar up more than a penny after uptick in oil prices,Stocks shake off downturn in Asia with TSX and Dow moving higher,2016-01-26,CBC
TSX drops on dismal oil forecast,Markets await impact of end of Fed's bond-buying program,2014-10-28,CBC
Stock markets fall after APEC summit highlights China-U.S. trade tension,"Plunging tech stocks pull Dow down 1.9%, with TSX falling over energy woes",2018-11-19,CBC
TSX point drop biggest ever,,2008-12-01,CBC
"Global stocks beat 2008 highs, TSX lags behind","Stocks in Germany, Japan hit record highs while Toronto's gains more muted",2013-11-28,CBC
"'Hardware failure' caused TSX shutdown, trading to resume Monday as usual","Technical issues weren't caused by cybersecurity attack, operator of exchanges says ",2018-04-28,CBC
"TSX up on strong bank results, Dow sets record",Canadian dollar rises above 80 cents as oil moves higher,2015-02-25,CBC
TSX gains 30.7% in 2009,Biggest 1-year advance in 26 years,2009-12-31,CBC
TSX closes at record high,,2008-05-12,CBC
TSX posts best day in 6 months despite pullback in cannabis shares,"S&P/TSX composite index closes up 170.27 points, Canadian dollar trades higher",2018-10-16,CBC
TSX closes at highest level since 2008,Canada's benchmark stock index now near level it was before recession,2014-04-17,CBC
"TSX, Montreal Exchange shut down unexpectedly for unspecified trading issue",Market operator says it expects to resume regular trading on Monday,2018-04-27,CBC
"TSX closes at new record high of 15,109",,2014-06-19,CBC
"MedReleaf, Aurora Cannabis confirm discussions, but no deal reached","Prior to stock halt, Aurora was 2nd-most valuable cannabis firm in Canada, and MedReleaf was the 3rd",2018-05-03,CBC
Stock markets slump as Greece mulls euro 'suicide' in referendum,Global stock markets sink as Greek financial crisis deepens,2015-06-30,CBC
"TSX poised to eke out gains in 2018, despite uncertainty over NAFTA and oil","Canadian stock performance tends to depend on the commodity cycle, which is in a relative lull right now",2018-01-01,CBC
Mercer International to give up TSX listing following loss at NAFTA tribunal,The U.S.-based forest products company had mounted a $250-million claim against the Canadian government,2018-05-25,CBC
TSX down 35% in 2008,,2009-01-01,CBC
"TSX, loonie flat on Remembrance Day",,2013-11-11,CBC
Shares of several Canadian cannabis companies temporarily halted on TSX,Cannabis stocks end the day mixed,2017-12-29,CBC
China's CNOOC begins trading on TSX,,2013-09-18,CBC
TSX hits new all-time high,,2014-08-20,CBC
"Marijuana producer Aphria raises $80M, shares fall after TSX notice",,2017-10-17,CBC
"TSX closes up 7.4% on year, Dow up 7.5%",Toronto market is off its September high because of falling oil prices,2014-12-31,CBC
"TSX ends down along with U.S. markets, Canadian dollar makes slight gains",Declines in energy and base metals weigh on TSX,2018-03-19,CBC
"TSX climbs to record high close of 15,953.51",Toronto Stock Exchange's benchmark index tops previous record set back in February,2017-10-27,CBC
"TSX down 206, Dow loses 335 points in stock market sell-off",Price of oil hits an 18-month low,2014-10-09,CBC
TSX continues record climb on Tim Hortons deal,"S&P 500 closes above 2,000 as U.S. consumer confidence improves",2014-08-26,CBC
"What crisis? TSX sets record, Dow heads higher","A day after the Malaysian Airlines MH17 disaster, markets throw off concerns over geopolitics",2014-07-18,CBC
Price of oil cruises past $60 US as TSX retreats from record-setting pace,Price for benchmark U.S. crude contract hits highest level since late June 2015,2017-12-30,CBC
Lululemon shares lose 17.6% on TSX,,2013-06-12,CBC
Marijuana company Aphria met with TSX about guidance regarding U.S. business,TMX Group has warned companies U.S. federal pot laws will take precedence over state rules,2017-10-23,CBC
Maple Group's TSX buyout wins shareholder approval,,2012-08-01,CBC
TSX and NYSE stocks rally as North Korean fears wane,Analyst says markets stabilizing after worst day in months for stocks last week,2017-08-14,CBC
"TSX hits another high as pot stocks fall; Dow tops 25,000","Dow Jones industrials closes above 25,000 for the first time",2018-01-04,CBC
"Rising price of oil helps TSX, U.S. markets climb higher","Health-care stocks also gave the TSX a boost, with shares of licensed marijuana producers closing up",2018-01-03,CBC
"Loonie lifted by inflation data, TSX hits second consecutive record high",,2017-12-21,CBC
Sino-Forest to be delisted from TSX,,2012-04-06,CBC
IPO surge on TSX bodes well for 2013,,2013-01-04,CBC
TSX among world's worst stock markets in 2012,,2012-12-31,CBC
TSX closes at a new record high,"Energy, materials and financial stocks lead the way for benchmark Canadian index",2017-02-10,CBC
TSX in biggest slide of 2013 so far,Dow drops 111,2013-04-04,CBC
Toronto-based sushi chain Bento plans IPO on TSX,,2017-05-30,CBC
U.S. stocks higher Monday while TSX closed for May holiday weekend,,2017-05-22,CBC
Bay Street firms pitch TSX rival stock market,"Royal Bank, mutual fund firms say new stock market will be fairer, cheaper for investors",2013-06-26,CBC
"Canadian retailer Roots files for IPO, plans to list on TSX under ROOT",Price the shares will be issued at has not been disclosed,2017-09-14,CBC
Marijuana producer Maricann shares plunge on news of trading probe,Maricann directors resign as they face an investigation from the Ontario Securities Commission,2018-02-28,CBC
"Dollar back above 80 cents US, S&P/TSX composite index makes gains",S&P/TSX composite index rises 78.74 points,2017-08-31,CBC
TSX miners gained $142B in 2010,,2011-03-02,CBC
"TSX, loonie close higher before holiday break",,2010-12-24,CBC
U.S. stocks close up slightly as TSX closed for August holiday,,2017-08-07,CBC
"Canada Goose files for public offering on TSX, NYSE",,2017-02-15,CBC
GM closes at $34.01 on TSX,Initial investors paid $33 ,2010-11-19,CBC
TSX seesaws 300 points on Europe fears,,2012-05-23,CBC
Shares of Roots slide in first day of trading,,2017-10-25,CBC
Honda recalls Acura TSX cars in U.S.,,2010-04-30,CBC
"TSX closes lower on Greece, China worries",,2012-02-10,CBC
Energy stocks weigh on TSX as crude oil prices hit 7-month low,Toronto Stock Exchange's S&P/TSX composite index loses 116.44 points,2017-06-20,CBC
TSX posts worst day of the year with 247-point loss,Financial and energy stocks drag Toronto Stock Exchange lower,2017-02-24,CBC
"Oil prices fall to six-month low, commodities weigh on TSX",,2017-06-14,CBC
S&P/TSX sheds 269 points as stocks plunge amid uncertainty around Trump,Price of gold jumps more than $22 US an ounce,2017-05-18,CBC
TSX plunges to lowest level of 2011,,2011-09-23,CBC
"Wall St. stocks slide away from 20,000 to a broadly lower close",Canadian dollar lower against U.S. greenback,2016-12-28,CBC
Crude prices snap winning streak,Gold stocks offset energy sector losses on the TSX,2017-07-06,CBC
TSX closes at lowest for 2010,U.S. markets closed for Independence Day holiday,2010-07-05,CBC
"TSX, London Stock Exchange to merge",,2011-02-10,CBC
Tahera Diamond shares suspended from TSX trading,,2009-02-09,CBC
TSX and Dow give up recent gains as Trump rally runs out of steam,"U.S. travel ban spreads concern in markets about isolationism, analysts say",2017-01-30,CBC
