title,description
The cost of housing in Canada and what it could mean for the economy,What rising real estate prices mean for the country and for Canadians who just want a home,2020-02-14,CBC
It's a buyers market for Regina housing: Royal LePage,The aggregate home price in Regina dropped 3.5% compared to same time last year,2019-07-11,CBC
"December home sales up 22.7% from a year ago, CREA report finds","The Canadian Real Estate Association says sales were slightly lower than November, but way up year-over-year",2020-01-15,CBC
CMHC expects housing market to recover in next 2 years after declines,"After sales, new builds declined this year and last, housing agency expects prices to exceed 2017 peak by 2021",2019-10-24,CBC
Old Embassy Hotel site poised to become 72 affordable housing units,Indwell submits planning application to build rental units at 744 Dundas St.,2020-02-28,CBC
Calgary realtors bracing for a 'double whammy',"Price declines already predicted for 2020, now COVID-19 brings more uncertainty",2020-03-19,CBC
Calgary realtors bracing for a 'double whammy',"Price declines already predicted for 2020, now COVID-19 brings more uncertainty",2020-03-19,CBC
"What you need to know about COVID-19 in B.C. on April 29, 2020",2 more poultry plant outbreaks; B.C. extends provincial state of emergency by two weeks,2020-04-30,CBC
"Changes to mortgage stress test rules good news for young home buyers, says P.E.I. broker",Broker says wiggle room will make a difference for people carrying extra debt,2020-02-23,CBC
Renting to students in N.L? Some insurance companies might refuse to cover you,"Housing advocate calls such policies discriminatory, but industry disagrees",2019-11-01,CBC
Tight rental market has Dartmouth renters worried over looming 'renoviction',"Tenants can reapply to the building after renovations, but rents will be hundreds of dollars higher",2020-03-12,CBC
"'Broke on payday': Facing eviction, longtime tenants feeling Ottawa's housing squeeze firsthand",8 men must be out of their Fisher Park rooming house by end of March,2020-01-31,CBC
"Home prices in Hamilton rise, number of new listings decreases",Availability of new listings in the city fell by 8 per cent this year,2019-11-05,CBC
Evictions on the rise as Montreal's vacancy rate hits 15-year low,Advocates want repossessions blocked before a 'crisis' comes on moving day,2020-01-24,CBC
Hamilton condo costs up 9.4% this year: housing survey,"Housing demand from first-time buyers, empty-nesters, broker says",2019-07-10,CBC
"Federal government can boost housing affordability with more incentives, board of trade says","Tax changes to support rental buildings, incentives to build near transit, loans for laneway homes suggested",2019-08-08,CBC
Victoria council mulls zoning change to preserve existing rental apartments,"The new ""rental tenure"" zoning power allows municipalities to preserve existing areas of rental stock",2019-07-08,CBC
"'Rents have just gone sky high': Cardigan candidates, voters weigh in on housing crisis",'It's nothing that a senior can really afford',2019-10-02,CBC
Hamilton looks at an empty homes tax to ward off speculators and help local rents,"More than half of vacant Vancouver homes are back on the market, but can it work in Hamilton?",2019-12-09,CBC
"What you need to know about COVID-19 in B.C. on April 19, 2020",Provincial health officer Dr. Bonnie Henry announced three new coronavirus deaths on Saturday,2020-04-19,CBC
The decade in B.C. prices: What costs more and what costs less,"While many items have risen in cost, the price of some goods has actually dropped",2019-12-23,CBC
Critics say budget 2020 offers little to families struggling with affordability,"Struggling families say budget misses opportunities to address child care, housing problems",2020-02-19,CBC
Will COVID-19 affect the spring real estate market?,"Mark Ting, On the Coast's finance columnist, on what you should do if you're looking to buy — or sell",2020-03-15,CBC
"B.C. housing market bouncing back as buyers return, report says","Recovery fuelled by growing population, lower borrowing costs, pent-up demand, Central 1 economist says",2019-11-25,CBC
Why the Hamilton 100 committee says Commonwealth Games are worth a $1.425B price tag,The city of Calgary is bidding for the 2026 Commonwealth Games,2020-02-26,CBC
City of Regina may reinstate tax exemption for non-profit homes,The city is set to discuss the non-profit tax exemption on Monday at 4 p.m. CST,2020-01-20,CBC
"Complaining about the cost of living, 1968 edition",There didn't seem to be any category of spending that hadn't seen an increase,2020-03-04,CBC
'Less bad' doesn't mean good: What Vancouver's housing market could hold in 2020,"For the first time in five years, there were no major surges in any aspect of the market ",2019-12-24,CBC
The price of an average London home could hit $450K in 2020,"While sales aren't expected to match the frenetic pace of 2017, tight inventories will cause prices to rise",2019-12-28,CBC
Anger over councillor's latte comment reveals affordability angst of the suburbs,Delta councillor's suggestion to scrimp and save drew viral anger as affordability continues to decline,2020-03-06,CBC
Housing affordability challenges have NDP calling for swift action,Seven families recently forced out of living situation at Dartmouth hotel,2020-02-21,CBC
Affordable housing getting tougher to find in Sudbury,"Rental costs rise while salaries stagnate, according to Homelessness Network coordinator",2019-11-21,CBC
The price of an average London home could hit $450K in 2020,"While sales aren't expected to match the frenetic pace of 2017, tight inventories will cause prices to rise",2019-12-28,CBC
P.E.I.'s housing crisis forces Syrian refugees into cramped quarters,'We're looking around for an apartment and we certainly don't have anything for August',2019-07-19,CBC
North Central non-profit housing trust proposal to be heard by housing commission,Report to be received at Mayor's Housing Commission Tuesday ,2019-11-12,CBC
"CMHC reports housing market stabilizing, moderate vulnerability",Agency says narrowing risk comes as home prices ease somewhat,2019-11-07,CBC
Low-income rates could rise as StatsCan moves to redraw poverty line,Poverty rates increased by 2.2 per cent the last time the measurement changed in 2008,2019-12-23,CBC
New affordable homes in Banff come with restrictions on resale prices,"'We're building them a nest, not a nest egg'",2019-07-29,CBC
"'Cheaper, warmer and newer': P.E.I. seniors move into new affordable building","'Some people can’t afford $1,200, $1,300 a month in rent, it’s crazy' ",2019-11-28,CBC
Montreal tenants are swapping apartments to avoid rising rents,"Trading leases is perfectly legal, but landlords must sign off on the swap",2020-02-29,CBC
Real estate market hits new heights in Ottawa-Gatineau,Record comes amidst affordable housing shortage,2020-01-06,CBC
'Homelessness can strike anyone. It could be you',"Author Mark Sakamoto on how homelessness touched his life, and how his hometown is dealing with the problem",2020-05-11,CBC
'Homelessness can strike anyone. It could be you',"Author Mark Sakamoto on how homelessness touched his life, and how his hometown is dealing with the problem",2020-03-13,CBC
"Toronto home sales jump 17.4% in December, average price up 12%",Condos saw the biggest price gains through 2019,2020-01-07,CBC
She fled domestic abuse. Now she and her daughter are victims of the housing crisis,"Shelters are full, wait lists are long and market rents are too high for most single mothers",2019-11-12,CBC
