"Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality (x 1,000)" 1
"Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Geography: Canada, Province or territory"

"","","Canada",,,,,,,,,,,,,,,
"","","Employment 3",,,,,,,,,,,,,,,
"Sex","Age group","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020"
"",,"Persons",,,,,,,,,,,,,,,
,"25 to 44 years","4,265.3","4,268.8","4,270.4","4,292.4","4,374.4","4,391.6","4,393.2","4,419.6","4,469.2","4,461.9","4,418.7","4,410.5","4,359.9","4,369.5","4,246.6","3,800.5"
,"45 to 64 years","3,720.7","3,728.4","3,741.0","3,770.0","3,854.9","3,866.1","3,854.8","3,847.8","3,872.5","3,816.8","3,786.1","3,756.3","3,717.5","3,743.7","3,654.0","3,345.0"
,"45 years and over","4,232.4","4,247.1","4,275.4","4,317.2","4,392.1","4,415.0","4,393.5","4,404.6","4,433.9","4,400.8","4,353.6","4,333.8","4,282.5","4,307.3","4,181.5","3,835.8"
,"25 to 54 years","6,294.5","6,300.1","6,309.8","6,344.6","6,466.5","6,479.6","6,481.1","6,501.4","6,557.5","6,511.9","6,455.9","6,434.3","6,355.2","6,380.1","6,218.9","5,627.0"
,"55 years and over","2,203.1","2,215.8","2,236.0","2,265.0","2,300.0","2,327.1","2,305.6","2,322.9","2,345.6","2,350.7","2,316.4","2,310.0","2,287.2","2,296.8","2,209.2","2,009.3"
,"15 to 64 years","9,140.2","9,168.3","9,196.0","9,279.9","9,544.0","9,630.8","9,697.0","9,705.0","9,571.8","9,508.0","9,427.1","9,381.3","9,246.8","9,306.5","8,939.0","7,983.1"
,"15 to 19 years","402.5","401.2","388.3","390.2","414.1","448.3","523.1","529.7","395.0","396.5","389.5","394.3","372.9","380.3","309.0","247.4"
,"20 to 24 years","751.7","769.9","796.3","827.3","900.6","924.8","925.9","907.9","835.1","833.0","832.8","820.1","796.4","813.0","729.3","590.2"
,"25 to 29 years","1,060.7","1,053.8","1,056.9","1,060.6","1,086.7","1,079.3","1,077.8","1,105.4","1,111.1","1,099.0","1,083.9","1,078.8","1,052.8","1,058.1","1,029.4","885.4"
,"30 to 34 years","1,080.3","1,077.8","1,075.0","1,090.0","1,110.0","1,117.2","1,126.3","1,131.1","1,144.8","1,148.2","1,136.2","1,138.3","1,121.3","1,128.1","1,087.4","981.4"
