REF_DATE,GEO,DGUID,Components,Unit of measure,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-08,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,463,,,,0
2019-09,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,382,,,,0
2019-10,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,363,,,,0
2019-11,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,374,,,,0
2019-12,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,384,,,,0
2020-01,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,366,,,,0
2020-02,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,422,,,,0
2020-03,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,775,,,,0
2019-01,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,3.52,,,,2
2019-02,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,3.66,,,,2
2019-03,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,3.75,,,,2
2019-04,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,3.82,,,,2
2019-05,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,3.90,,,,2
2019-06,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,3.99,,,,2
2019-07,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,4.08,,,,2
2019-08,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,4.15,,,,2
2019-09,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,4.17,,,,2
2019-10,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,4.19,,,,2
2019-11,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,4.01,,,,2
2019-12,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,3.97,,,,2
2020-01,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,3.91,,,,2
2020-02,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667776,1.2.2,3.93,,,,2
