REF_DATE,GEO,DGUID,Financial market statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-02-19,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7472,,,,4
2019-02-20,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7472,,,,4
2019-02-21,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7475,,,,4
2019-02-22,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7443,,,,4
2019-02-23,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-02-24,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-02-25,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7458,,,,4
2019-02-26,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7440,,,,4
2019-02-27,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7485,,,,4
2019-02-28,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7482,,,,4
2019-03-01,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7465,,,,4
2019-03-02,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-03-03,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-03-04,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7483,,,,4
2019-03-05,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7479,,,,4
2019-03-06,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7484,,,,4
2019-03-07,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7473,,,,4
2019-03-08,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7462,,,,4
2019-03-09,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-03-10,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-03-11,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7477,,,,4
2019-03-12,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7471,,,,4
2019-03-13,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7472,,,,4
2019-03-14,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7487,,,,4
2019-03-15,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7460,,,,4
2019-03-16,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-03-17,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-03-18,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7484,,,,4
2019-03-19,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7452,,,,4
2019-03-20,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7469,,,,4
2019-03-21,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7462,,,,4
2019-03-22,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7454,,,,4
2019-03-23,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-03-24,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-03-25,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7471,,,,4
2019-03-26,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7476,,,,4
2019-03-27,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7459,,,,4
2019-03-28,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7467,,,,4
2019-03-29,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7449,,,,4
2019-03-30,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-03-31,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-04-01,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7458,,,,4
